Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
Stay safe my gulf cost friends! RT @CDC_DrCPortier: #Isaac now a category 1 #hurricane. Stay tuned to TV/radio for #evacuation info,0.3113235682249069,16,33,30,31,21,0.093481265,0.059057128,0.057258658,0.05268534,0.04884118
"Avella Grades City, ConEd on Hurricane Irene Response via",0.2561053894460201,33,40,0,53,20,0.08763616,0.061503086,0.038832363,0.035558734,0.03257505
"""@Sinnerman24: Hurricane #Sandy aka #Frankenstorm is posing the worst case scenario for east coast. Stay Safe! All ! """,0.34302803315222263,21,17,33,40,34,0.16080774,0.06573741,0.05851969,0.029258732,0.028704455
Hush..hush.. RT@TelegraphNews: Hurricane Sandy: 17 people rescued off HMS Bounty replica ship,0.25188061594963074,22,25,0,1,49,0.05880712,0.05528521,0.046879016,0.04554183,0.04536744
""" What if gangam style was actually just a giant rain dance and we brought this hurricane on ourselves? #Sandy” @wirtwormdangler",0.4434957094490528,0,51,12,40,20,0.23850542,0.06714013,0.060488038,0.03910388,0.038258236
Hurricane Matthew tore the end of the pier off & left debris all…,0.3216889724135399,34,12,46,5,3,0.1102693,0.07354048,0.060739476,0.038571175,0.03856854
@FraserSinc92 nah she is. Dragged in by hurricane Sandy,0.29009147733449936,51,0,20,25,12,0.09887442,0.084544994,0.036577214,0.036030117,0.034064732
Looks scary... “@mashable: Hurricane Irene: NASA Posts Satellite View of Irene's Landfall In N.C. [UPDATED] - ”,0.32697246223688126,52,41,12,34,43,0.096390076,0.066134594,0.061602715,0.054308005,0.04853707
susahnya buat mejamkan mata ini .-.,0.298304945230484,24,55,35,42,58,0.08644772,0.06191795,0.054081857,0.051849537,0.04400788
С Машей не всё ок,0.2509699612855911,11,21,48,57,34,0.0861676,0.049222548,0.043149456,0.04253795,0.029892411
"Hurricane Sandy, 'Frankenstorm' Preparation Advice from the Twitterverse via",0.32322798296809196,33,11,6,40,31,0.1079393,0.06694061,0.06009916,0.04610064,0.04214827
Sending prayers to all of those in the path of hurricane Isaac. 🙏,0.7301874496042728,21,61,8,59,46,0.37280366,0.13518842,0.08122886,0.08115606,0.059810456
"Hey guys, Sandy is not a sand storm. Wtf. 😠",0.39336904510855675,55,32,12,19,25,0.110759296,0.10857774,0.062400352,0.062033873,0.04959778
I made a cake for hurricane sandy hahaha lmfao,0.36657825112342834,0,53,36,40,20,0.12337496,0.06546362,0.06444707,0.056703888,0.056588717
5 Things to Do to Prepare for Hurricane Sandy via,0.2199700064957142,20,62,12,45,52,0.051522505,0.05121177,0.04121766,0.038174916,0.037843157
"😎Some local 🏄surfers and advanced beginners enjoying part of 🌀Hurricane Florence's 🌊swell at our home break, last week's #tbt📹 by caribbeansurfadventure @ Macao Surf Camp",0.32107219472527504,33,31,53,11,57,0.13575925,0.071000874,0.0496439,0.034149006,0.030519165
How to Clean up After Hurricane Sandy via,0.2436606101691723,19,45,25,43,52,0.052248564,0.051575284,0.049249176,0.046212792,0.044374794
"#sandy #hurricane ♫ ""Shelter from the Storm"" by @bobdylan (@ Chalfant Boro)",0.4312016908079386,11,48,33,40,17,0.15123543,0.14045107,0.06942556,0.040774807,0.029314818
Helping You While You Help Others: Hurricane Sandy has in one way or another affected us all. As we start ...,0.306965671479702,44,61,57,47,58,0.11541621,0.060249064,0.04919577,0.044197895,0.037906736
Driving Still Dicey 2 Days After Hurricane Sandy - #WestHempstead #NewYork,0.21033208817243576,12,52,62,31,42,0.052404627,0.04503374,0.040456362,0.036277555,0.036159802
When are people going to start blaming hurricane sandy on Obama?,0.46633724868297577,25,22,12,19,0,0.12811162,0.1045468,0.087232076,0.07330543,0.07314133
We hope everyone is staying safe and out of the way of Hurricane Sandy!,0.47974327206611633,21,8,61,59,47,0.17778312,0.08600953,0.08067563,0.06827885,0.06699614
"""@twc_hurricane: As of 8:20pm, a buoy in the eastern eyewall of #Arthur reports 65mph winds gusting to 81mph.",0.39975716546177864,12,32,55,25,19,0.12044532,0.11463126,0.072451055,0.050046463,0.04218307
@charlotteartsx was je gister nog op tijd meis voor #MSA12 ?,0.29903992265462875,54,50,53,24,20,0.07893179,0.067728564,0.06414763,0.045336213,0.042895723
@Nick_Jonesy7 @lewis_tonks @rolandobloom8 it's all about china garden at the whitminster inn #topchinese,0.4012083262205124,33,36,54,50,31,0.108058654,0.08197029,0.074021734,0.07256475,0.0645929
Hurricane sandy there I said it,0.23027624562382698,12,31,9,0,44,0.05701109,0.054108713,0.040825274,0.039209206,0.039121963
Oficialmente 2 semanas en NY....Grateful that my family is safe after hurricane Maria....but…,0.37223074212670326,21,34,46,8,47,0.14061056,0.088295594,0.05480271,0.045956906,0.042564973
CHECK OUT THIS PIC – taken from the Space Station of Hurricane Sandy: via @gretawire,0.287648007273674,33,50,41,31,54,0.078442834,0.05607058,0.054125328,0.05324118,0.045768086
Why name hurricane fag names like Sandy? Name that shit Hurricane Death Megatron300 n I guarantee niggas be evacuating that shit.-KWilliams,0.3390256054699421,13,51,38,42,0,0.11650675,0.073420085,0.05847201,0.05519271,0.035434052
The sun coming out post Hurricane Sandy!!! #statigram #igdaily #instabest #instamood #instadaily @ New York,0.23351717740297318,31,33,4,21,17,0.07638819,0.0465343,0.0393327,0.036499884,0.034762107
Ok. Milk - checkBread - checkEggs - eggsI'm ready for Hurricane Sandy. Wait. What. WTF I missed it. That's it. French Toast Anyone ?,0.3629673011600971,32,55,25,19,52,0.09892765,0.09663106,0.060335625,0.058895912,0.04817706
Hurricane Irene's pending arrival sends OEM offices into high gear - #Warren #NewJersey,0.19441905058920383,33,31,11,44,12,0.047742594,0.04320719,0.04299783,0.03108571,0.029385727
"With Hurricane Irene Bearing Down, Maryland Governor Talks With Obama, Implores 'Preparedne via",0.21367046236991882,33,12,25,32,22,0.051920936,0.044296153,0.042503044,0.038310923,0.036639407
Blackingout cos of hurricane sandy? Why not #messedupmonday,0.260566771030426,26,9,54,0,50,0.06882914,0.056990124,0.05338036,0.042589504,0.038777642
'Frankenstorm': Hurricane Sandy May Hit Sunday via,0.2156289778649807,31,40,41,12,17,0.047709525,0.043484025,0.042147648,0.04185418,0.0404336
The eye of the storm...Nashville : midnight...Hurricane Harvey takes a break for a minute.…,0.24511960707604885,41,11,12,33,48,0.076998316,0.059424426,0.045418445,0.035723396,0.027555024
At work now at University Hospital . Full activation by 7 am tomorrow in preparation for the arrival of hurricane Isaac.,0.23825301229953766,52,42,43,39,62,0.05432471,0.053740293,0.047072876,0.04244762,0.040667515
Hurricane Matthew is headed for Haiti. Let's take a moment to pray.…,0.7315321378409863,21,17,61,8,40,0.59891623,0.06297961,0.03700548,0.016453419,0.016177397
Sandy hurricane AND a snowstorm #thatshitcray,0.2536882683634758,11,12,4,6,48,0.06817962,0.060480013,0.044758588,0.040375363,0.03989468
รถติดจังเลยค่าาาาา (@ Express Way),0.27472858130931854,11,21,48,33,50,0.07180956,0.068475895,0.063615575,0.038430363,0.03239719
#trolllollol #hurricane #sandy is really #FSU here in #bellingham too! #wwu #fall #pacificNW @ Viking Union,0.3432415649294853,33,61,57,53,40,0.09930551,0.07119378,0.06736097,0.05303556,0.05234575
"@thenameisjuls oh, semi-hand-me-downs lol but they smoe dope polos and such, totally my style, and i dont really have much 4 a wardrobe lol",0.31766096875071526,54,53,20,10,62,0.07189961,0.06879966,0.06348792,0.058427818,0.055045966
#CelioLatAmCover Hurricane Irene gains strength,0.714410268701613,57,17,41,58,13,0.64929324,0.020537727,0.015971072,0.0147775635,0.013830663
"how does a hurricane bring cold weather & snow?? come here, sandy!! I want snow! :)",0.2944364547729492,55,32,24,29,61,0.08539116,0.069721356,0.050873723,0.046651796,0.041798424
#happyfourth #arthur #hurricane #boston @ Southend,0.21242434903979301,57,40,11,33,58,0.048292927,0.045329217,0.04357682,0.039992798,0.035232585
"(#Yeremiito21) Keeping Hurricane Arthur out of the house: 6am Pine Island, Outer Banks NC (Via @Yeremiix3)",0.3111293502151966,33,31,63,11,50,0.08108597,0.07413258,0.06842909,0.044209752,0.04327196
My nigga @ObeyProdigy back at it again i see...lol,0.44878431037068367,41,13,31,57,44,0.18409443,0.083796024,0.0673343,0.060309257,0.053250298
So thankful I was able to vote today via fax. Hurricane #sandy can't stop my vote!! #hobokenvote,0.3502193093299866,17,21,61,57,33,0.09895808,0.098865286,0.05446801,0.05117193,0.046756003
@Kaitlynx17 It's so on! I'll go all Hurricane Sandy on your scrawny little ass! ;),0.3574155233800411,58,57,24,54,33,0.10493289,0.067302525,0.06519293,0.062303226,0.057683952
"Haiti: Hurricane Matthew leaves hundreds dead, 'worst yet to come'",0.28607236966490746,46,34,27,3,35,0.09403053,0.080654584,0.042373035,0.03573665,0.03327757
Why do I have so many clothes and crap! Just always comes back and takes ages to clean up! FML,0.5133457779884338,29,42,55,32,43,0.13451208,0.11554968,0.10921638,0.08875077,0.06531686
"Was hoping to bring my nephew to his first football game today, but thanks to Hurricane Florence he wasn’t able to make it 😕 still a great experience at the…",0.39746613055467606,61,5,33,34,27,0.14611217,0.06526271,0.064014785,0.061536383,0.060540076
I'm at Hurricane Irene w/ @kenissomewhere,0.22292764857411385,36,10,31,62,4,0.07423675,0.042768322,0.039692957,0.034182213,0.032047406
@WWF_addict I didn't have class this week due to hurricane sandy! So no homework for me! 😜 Does that make you feel better lol :) hehe!,0.37097815051674843,54,53,10,50,33,0.10084041,0.08605322,0.06818961,0.060918834,0.05497607
National Weather Service Compares Sandy to Devastating ’62 Storm via,0.3808492496609688,34,46,27,52,45,0.12727706,0.09255121,0.06403083,0.050019316,0.04697083
Hurricane Sandy Bits and Bytes: State unemployment compensation centers closed today. via,0.283175703138113,32,33,34,55,19,0.07586554,0.060387954,0.053160984,0.052792363,0.040968865
President Trump is making his way back to Texas to visit those impacted by Hurricane Harvey.,0.2597905322909355,12,33,51,40,25,0.05943121,0.05476328,0.050792895,0.04774897,0.047054175
Romney's raving about privatizing FEMA. Probably good time for Americans to decide if idea is rational after Hurricane Sandy. #debate,0.2640581503510475,33,22,62,54,25,0.062162887,0.06134318,0.05431188,0.04359127,0.042648938
Hurricane Isaac is roaring about. (@ Keesler West Falcon),0.2297109290957451,61,33,50,40,57,0.061352387,0.045110866,0.043250903,0.04241119,0.037585583
RT @gemswinc @slines Ha..there is also @hurricane_irene @weatherfran @elegantdame// OMG~not two hurricanes! @Irene @Ants_SNEweather,0.2890823893249035,54,50,41,33,12,0.07568025,0.07273615,0.049179688,0.048484884,0.043001417
