Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
Watchin hurricane sandy. Its creepy,0.6181552708148956,12,52,62,43,25,0.24482307,0.17791484,0.07214935,0.067913204,0.055354804
Hurricane Sandy Closures via,0.19156638160347939,12,33,51,31,41,0.053100757,0.044132803,0.03292596,0.031128958,0.030277904
"Why the hell are story's about hurricane sandy and the eastern coast at the bottom of the trending list, yet union j are on top... Cunts",0.5288624651730061,32,55,37,58,38,0.23728165,0.13178168,0.062346417,0.050687287,0.046765428
West Haven residents debate whether to evacuate over Hurricane Sandy Most read by neighbors in #WestShore #WestHaven,0.24980302527546883,12,62,25,32,33,0.06830673,0.047454022,0.04627281,0.045681357,0.042088106
@lucassfelipe_ alegre? So alegre? Tem certeza né,0.18788906931877136,0,54,50,24,53,0.042499553,0.040332325,0.035899524,0.034768112,0.034389555
Sir Richard Branson to ride out Hurricane Irma on Necker Island #Politics,0.28777046129107475,33,31,57,12,40,0.074964784,0.0732799,0.04828178,0.048066318,0.043177675
Caring for Pets During Hurricane Sandy via,0.27986781671643257,8,47,16,7,18,0.07622294,0.06485954,0.04921265,0.04559197,0.043980718
"New date announced! After having to postponed twice due to Hurricane Harvey, here's finally a…",0.33691583946347237,17,33,53,40,10,0.09937422,0.06713996,0.06507758,0.06301327,0.042310808
Out of state weather...Storm in the MidwestA dust storm in PhoenixAnd hurricane Arthur I think I'm done,0.22749293968081474,12,62,28,52,33,0.060089227,0.049514912,0.043956347,0.03931742,0.034615032
I can't bear to look at pics of Hurricane Sandy... I don't want to see my Jersey destroyed 😢,0.4368060417473316,46,34,52,29,43,0.14373279,0.11392273,0.07121744,0.055653337,0.052279748
God thank you for sparing Miami from a direct hit from Hurricane Matthew - for those who have…,0.6771776787936687,21,17,40,33,8,0.36869,0.19403152,0.057563797,0.03585618,0.021036167
"NWS is calling this ""potential historic storm"". That's all I'm gonna say.",0.2334328219294548,25,0,51,19,12,0.05257408,0.048447642,0.04802307,0.04729257,0.037095457
Just dropped off some donations for Hurricane Harvey victims in Houston courtesy of our partner…,0.3929918594658375,21,34,61,17,33,0.17569132,0.074438736,0.050639205,0.047440015,0.044782583
"saraaapaaan -,-",0.4583451561629772,24,58,42,47,55,0.16816522,0.09230114,0.076729015,0.062227506,0.058922276
Help Animals of Hurricane Sandy via,0.3338076248764992,11,21,34,48,46,0.0998992,0.08138888,0.07202524,0.04426591,0.03622839
Go eat at @hopdoddy tonight and help out the hurricane Harvey victims!•100% of Goodnight…,0.29262131452560425,44,14,61,30,8,0.068673186,0.066867515,0.06528926,0.05211494,0.039676413
So bring me two pina coladas one for each hand. Let's set sail with Captin Morgan and never leave dry land... Bring on Hurricane Arthur!! 🇺🇸,0.46596160531044006,11,48,61,8,47,0.25538406,0.06930998,0.05245274,0.04504599,0.043768838
The Weekender: Veterans Day Ceremonies and Zumba-thon for Superstorm Sandy Victims - #LithiaSprings #Georgia,0.2324822023510933,33,57,31,40,21,0.075844206,0.042668007,0.04176465,0.037571043,0.034634296
"Lmao RT: @BoingBoing: Hurricane Irene: Dude streaks through Weather Channel reporter during live shot (video, pic, NSFW)",0.28709933906793594,0,53,16,3,20,0.08669364,0.06806272,0.05168828,0.043688994,0.036965705
“@Sneakerhead57: I miss football & Teammates 🏈🏈🏈”,0.46152374893426895,34,46,61,5,35,0.10659763,0.10277804,0.09959489,0.09570802,0.056845166
"#twedbo aan het luisteren via @fctwenteradio , ga zo door @fctwente hou die voorsprong vast",0.3085988461971283,24,47,16,54,53,0.12516649,0.06501868,0.04965014,0.035470404,0.033293128
@steiner_kayla thanks darling...,0.429996021091938,23,60,8,59,47,0.18213037,0.0679806,0.061721887,0.059254896,0.05890827
"Samee lht imb ni lht mbk hilda RT @phina_pinot: di rumah aja peb, situ .. ? RT @FEHASEE Malmng kmne RT",0.4649597890675068,16,24,47,54,53,0.21296977,0.13728344,0.047760967,0.03479281,0.0321528
"Day #5 of Hurricane Harvey in Houston , Tue, Aug 29, 2017. National Guard staging at George R.…",0.30010000243782997,33,57,58,40,31,0.09014128,0.0606114,0.054086674,0.048073336,0.04718731
#ThingsBetterThanTheCarterIV hurricane #Irene,0.28050700947642326,11,48,24,47,40,0.07445933,0.07342341,0.059899166,0.0393371,0.033388007
@neeesaboo let's go to safeway and get some :D ....I'm sure hurricane sandy cnt be that bad I mean ...,0.27876700460910797,54,50,9,53,10,0.08192982,0.0755487,0.0414424,0.03998292,0.039863165
A major storm looks to strike the east coast early next week! The only question is where it will hit. #Sandy,0.2659238241612911,12,62,52,22,32,0.08664238,0.06252763,0.044793785,0.036629815,0.03533022
“@BritishVogue: Fashion designer @RalphLauren to donate $2m to the Hurricane #Sandy relief effort - ”,0.2815045043826103,21,17,33,40,63,0.06597068,0.06301201,0.062131166,0.05300848,0.037382163
Wish sandy hit SC so we could have a hurricane party #wishfulthinking 🌀🌊☔,0.256710909307003,21,5,22,27,41,0.08010699,0.053198244,0.043455858,0.041910503,0.038039315
"“@TLW3: Michele Bachmann Blames God for the Earthquake, Hurricane Irene #p2 #p21 #dems #tcot” An idiot.",0.21305175498127937,0,19,40,25,21,0.056480102,0.04240522,0.038598437,0.03851233,0.037055664
Gas Is Up Again; Blame Hurricane Irene via,0.22093604132533073,19,1,20,12,37,0.067615114,0.047087178,0.037619982,0.03477779,0.033835977
First photos of devastation from hurricane Sandy,0.34363849833607674,46,34,12,3,35,0.115661316,0.09905588,0.053099584,0.04244466,0.03337706
It looks kinda like #Sandy is rolling in. Or not. I dunno. Could just be a random storm. #darkclouds,0.4112415947020054,12,62,22,25,52,0.12717164,0.09286486,0.07675222,0.06330373,0.05114914
Hurricane Irene's Middletown Sinkholes via,0.18140188604593277,33,12,57,11,31,0.043567184,0.037861593,0.034343634,0.033765532,0.031863943
Jjj,0.20951864309608936,24,47,61,57,4,0.08243538,0.04112979,0.028896153,0.028721187,0.028336136
I only trust Dr. Neil Frank for my hurricane updates. #Isaac,0.2008298747241497,33,21,31,30,17,0.048877794,0.0483623,0.037158266,0.035947986,0.030483529
I HOPE @citydelights IS OKAY. OMG HURRICANE SANDY. 😱😱😱😱😱,0.3414510674774647,34,21,46,8,61,0.0998938,0.09363395,0.059780482,0.045026213,0.04311662
@amandagsheehan be careful for Hurricane Arthur! 🙏,0.2722664996981621,50,54,21,62,33,0.08327441,0.06995575,0.042160768,0.03943423,0.03744134
Hurricane Sandy has arrived.. @ Allenhurst Beach Club,0.31656281277537346,31,33,17,10,53,0.12738189,0.0631895,0.04545396,0.0404397,0.040097766
@da_bunz I think I might have to😀,0.23861973360180855,62,12,41,50,49,0.058841392,0.0535972,0.04615976,0.04264739,0.03737399
Local collection drives for Hurricane Sandy relief Most read by neighbors in #LochLomond #Manassas,0.26685837656259537,33,17,6,31,12,0.10110986,0.046232965,0.04341855,0.039787117,0.036309883
#7FactsAboutMyBestFriend @ZoeyJones74 10. She sings whenever she hears a songg,0.36245664954185486,11,48,4,8,47,0.14072977,0.072026245,0.058888365,0.047205716,0.043606553
“@CraigatFEMA: Hurricane #Arthur moving quickly northeastward ”,0.3337523974478245,12,34,41,40,17,0.12542818,0.060424592,0.052933026,0.0492871,0.045679495
"Sandy storm kills 16,leaves 7.5 million without power,Sharks found swimming in the streets,18 houses burnt down&ppl r so united. #impressed",0.2721289247274399,32,55,12,34,19,0.07717794,0.05743585,0.049769934,0.046819054,0.040926144
@D_Chamberlain Just read The Bay at Midnight and all the way through I was googling landmarks in the book and now hurricane sandy happens!!,0.3456985652446747,32,55,28,34,62,0.13003999,0.076020375,0.055164937,0.043449223,0.04102404
