Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
I'm at Hurricane Irene Projected Path w/ @koa @odiolasgalletas,0.18373852968215942,63,30,36,47,8,0.04309374,0.036711864,0.035278033,0.034655895,0.033998996
Superstorm #Sandy now a winter cyclone according to @CBSEveningNews,0.2463766671717167,33,50,40,53,54,0.06174889,0.05221334,0.04903989,0.04326406,0.040110487
Hurricane sandy? Wtf!!,0.515905573964119,12,32,55,52,37,0.25005364,0.09856016,0.07235005,0.048101183,0.046840537
Were stuck 2 days in sea cuz of storm Isaac!,0.37125445902347565,55,32,19,52,29,0.10396544,0.08362191,0.07227972,0.059636824,0.051750563
If PLP wants to win election next year they better help with repairing damages and assisting with all victims of hurricane Matthew #surevote,0.41187770664691925,21,32,55,58,37,0.12325681,0.11531102,0.08023086,0.052548975,0.04053004
Dear Hurricane Sandy: I've got Twinkies. Bring it!,0.5214439369738102,58,57,44,31,40,0.20659247,0.14514405,0.076863356,0.048341393,0.04450267
“@Marily2500: Randy Jackson is so irrelevant. 'Shoutout to everyone who was affected by hurricane Sandy' because they have tv and cable.”,0.5471365712583065,40,17,21,0,13,0.251168,0.1807651,0.044050217,0.036247812,0.034905422
Long Beach and Quiksilver Prepare for Hurricane Irene via,0.23163477331399918,31,33,10,30,53,0.06912142,0.050188288,0.038862497,0.037129175,0.036333393
Hurricane Sandy Help Fair Sponsored by Jewish Federation via,0.2524103857576847,33,12,40,31,11,0.10199085,0.046462953,0.03747184,0.035089165,0.03139558
"""Rename the hurricane A-Rod and it won't hit anything"" HAHA #Sandy",0.4730829522013664,0,53,33,20,40,0.24011415,0.0725378,0.05898074,0.050770458,0.0506798
I'm at Hurricane Irene's Aftermath (Alexandria) w/ 3 others,0.15146243758499622,42,11,45,52,20,0.03480372,0.03152036,0.028903358,0.02863337,0.027601633
I told my son hurricane Irene comin get sumwhea safe he ran and got under the cover lmao!..,0.24070905521512032,0,51,12,3,41,0.0810572,0.046476856,0.038387865,0.03819537,0.036591765
"“@AP: BREAKING: Forecasters say Sandy is a hurricane again, hours after being downgraded to tropical storm. -elect.day shinnaniganas?",0.29479996860027313,12,34,22,41,25,0.12102775,0.045771215,0.044671066,0.04183248,0.041497454
@YukaYm 悪戯しちゃうぞーーーーーキラッ,0.24272727593779564,21,50,54,57,34,0.08378703,0.049822774,0.04364166,0.03455347,0.030922342
"@50shades0fgay_ if hurricane sandy whipped through here, we'd have like a month off or s/t",0.27753931283950806,50,54,9,26,33,0.08602084,0.051793873,0.049057357,0.048897564,0.041769676
there's little kids with cancer & people who lost their homes with hurricane sandy & #StayStrongJustin is seriously trending? #likereally,0.5084045715630054,46,34,21,5,27,0.16841835,0.15015912,0.067962006,0.06165655,0.060208548
NWS in Raleigh reporting wind gusts 45+ across the area with power outages in Goldsboro #irene /via @twc_hurricane,0.2925487346947193,33,32,57,31,55,0.09369786,0.058044523,0.051376376,0.0479856,0.041444376
2:25am #Irene doesnt wanna F with Canada or else she'll freeze by the time she hits us - Niagara Falls #Hurricane,0.23821576684713364,55,32,19,46,34,0.056395594,0.05397454,0.043072376,0.04259468,0.04217858
"Btw, Hurricane Irene is a bitch-ass bitch.",0.30372875928878784,26,38,58,56,1,0.07943098,0.07724797,0.051339265,0.050328508,0.045382034
@SteveSelsky I just realized that instead of ever coming to visit me you chose to visit a hurricane #sandy #youoweme #youhadfiveyears,0.3928958475589752,46,34,5,27,3,0.11866111,0.107015334,0.071491025,0.057134442,0.038593933
Central Avenue Businesses aid in Hurricane Sandy Relief efforts via,0.38042763993144035,33,40,17,53,6,0.15495771,0.092657864,0.04887149,0.04436369,0.039576884
"Avella Grades City, ConEd on Hurricane Irene Response via",0.2561053931713104,33,40,0,53,20,0.08763615,0.061503086,0.038832366,0.035558738,0.032575052
PLEASE LIKE AND SHARE! DALLAS AND COLLIN COUNTY FRIENDS!!!! Hurricane Harvey victims…,0.4111107848584652,21,61,8,59,33,0.17687379,0.09698098,0.047452666,0.047352057,0.042451292
Broadway theaters to reopen Monday after weekend shows canceled due to Tropical Storm Irene - #Mosby #Missouri,0.2237691916525364,33,31,53,17,62,0.06806399,0.048831128,0.03784133,0.034557622,0.03447512
The calm before the storm. #Sandy #NYC #UWS @ 89th & West End,0.2338348925113678,33,61,21,31,6,0.06979407,0.05177948,0.03903561,0.03782075,0.03540498
bleh. “@cnnbrk: Gov. Bobby Jindal declares state of emergency for Tropical Storm #Isaac in #Louisiana. ”,0.2991538420319557,34,52,39,43,27,0.06589003,0.06431655,0.059733514,0.05518036,0.05403339
"She's here! Just a raining, Irene had a bigger punch though (@ Hurricane Sandy w/ 64 others)",0.2419256567955017,58,53,33,54,10,0.09281781,0.04845184,0.03700456,0.03193921,0.031712234
I'm at Hurricane Irene (Lorton) w/ 25 others,0.1368178203701973,20,16,53,62,31,0.0344348,0.027454635,0.025835568,0.024769869,0.02432295
"Jacksonville-based Red Cross, Coast Guard units heading to Texas to help with Hurricane Harvey relief --…",0.24851135909557343,21,53,47,24,33,0.05236094,0.05047072,0.04901859,0.04858152,0.048079588
"I'm at Hurricane Irene (Somerville USA, Somerville) w/ 2 others",0.15392443537712097,63,47,24,20,53,0.03133364,0.031145627,0.030944949,0.030732326,0.029767893
"Air Traffic Control is doing yeoman's work, getting everyone unsnarled from the #Sandy storm cancellations. I can see ~1,000 souls en route.",0.23588456586003304,41,33,31,44,62,0.055548534,0.052164175,0.05183919,0.04164694,0.034685727
Storm prep #sandy @ Acme Markets,0.23076994344592094,57,33,61,10,62,0.078094184,0.050669942,0.03669399,0.032803405,0.03250842
#AcakFilm stusdy' tliar tdk ada yg benar. Jawaban benar: dusty's trail,0.23831496387720108,53,16,57,24,20,0.053396754,0.05211957,0.050319873,0.044999633,0.037479132
Maria prompts hurricane warning for Caribbean islands battered by Irma #Maldon,0.24464455246925354,12,62,0,20,28,0.095301665,0.043062206,0.042921998,0.031761914,0.03159677
RT @G_R_ACE: A silent prayer for those whose lives are affected by hurricane sandy ...,0.5708919987082481,21,24,34,17,47,0.22131285,0.12056559,0.10056348,0.070089094,0.05836098
Hurricane Irene > Tyler The Creator,0.7373665235936642,48,11,24,47,63,0.45076105,0.12637304,0.09136385,0.0406606,0.028207988
Lowes & Boston market are giving away meals for Thanksgiving...for families of superstorm Sandy...I'm here with DOBI Commissioner come visit,0.25542018190026283,53,33,36,7,47,0.06021497,0.059264094,0.048554137,0.047344897,0.040042084
"Halloween cancelled. Buy candy. Go in bathroom. Have your kids knock and yell ""trick it treat""! #Sandy #Hurricane #FunAtHome",0.28186795487999916,32,33,55,58,44,0.06380913,0.062347654,0.058735892,0.048572395,0.048402887
“@SophieSmith86: Good luck to everyone in the US bracing for Hurricane Sandy.” Be safe,0.4435698874294758,21,61,8,33,23,0.1956068,0.08503081,0.062265202,0.054919694,0.045747384
Montgomery County Schools Closed Due to Hurricane Sandy via,0.29657308757305145,19,25,32,12,1,0.08555962,0.05737835,0.056854088,0.056348156,0.04043287
@AlvaroSeguraa hola alvaro,0.30657555907964706,24,30,50,47,53,0.08516223,0.06293714,0.059330218,0.050675977,0.048469994
Just posted a photo @ My Special Little Spot! {~_*},0.8689763797447085,24,47,16,8,63,0.60404116,0.17661038,0.051034503,0.023278346,0.014011991
"Last night, the first band of Hurricane Nate came through at my parents’. It was the most…",0.20757853239774704,11,12,8,4,17,0.053448517,0.042169288,0.039893642,0.036957,0.035110086
Son who made that hurricane sandy page! So dumb but hilariouss,0.25204873457551,19,51,0,1,32,0.06517615,0.055229258,0.04842098,0.041934222,0.041288123
Braving Sandi Franksenstorm... (@ Frankenstorm Apocalypse - Hurricane Sandy w/ 1950 others),0.16894936934113503,11,48,24,57,31,0.044115193,0.03224102,0.031999115,0.031970922,0.028623119
Just posted a photo @ STORM SANDY IS HERE,0.2716226726770401,12,10,62,4,53,0.067990035,0.057695474,0.05359513,0.048759464,0.04358257
Being homeless because of hurricane sandy is fun... Not.,0.27929195016622543,56,19,25,1,55,0.08428955,0.058736134,0.049063765,0.0471673,0.0400352
New Orleans prolli like fuck hurricane sandy,0.30892298743128777,2,51,0,37,29,0.075321525,0.07113297,0.057084523,0.054974075,0.05040989
Good morning @KateHoww we made it through Hurricane Irene. :),0.45004870370030403,24,47,8,33,16,0.1815426,0.11229954,0.062190045,0.05008162,0.043934893
@Chatteryy that's the worst wrath ever worse than hurricane sandy,0.36754801496863365,32,52,39,55,43,0.10166131,0.09331879,0.06707607,0.060453914,0.04503793
@THEadrianbelew hurricane Harvey is like the great Eye on Jupiter it just sits there and rotates,0.3376285172998905,33,50,41,53,6,0.10298366,0.07220237,0.06919519,0.04908386,0.04416344
hurricane Isaac cant stop my go#no cuddling #grindin @ Opa Locka,0.21759464964270592,56,54,9,30,38,0.082625285,0.037005037,0.03640309,0.030860566,0.030700672
Windrun Santa Barbara Pinot Noir. The perfect wine for hurricane Irene. (@ Franklin Liquors) [pic]:,0.4362550862133503,24,47,33,8,63,0.22616294,0.08868395,0.046574466,0.037613653,0.03722008
Hurricane Harvey snack. #food #hurricane #l4l #ff #houston #travel #traveling #travelgram…,0.31026216596364975,33,24,36,53,47,0.08412685,0.06763158,0.062253617,0.051850237,0.04439988
@KellyRipa Pls keep Louisiana in ur prayers as #Hurricane Isaac conts.2 hit us 2nite &RetweetForSupport~LuvFmLouisiana,0.5025691986083984,21,34,61,47,46,0.3202532,0.06495038,0.04393826,0.036904804,0.036522564
"""@AP: RAW VIDEO: As Hurricane #Sandy hits the Eastern Seaboard, parts of Virginia start to see snow: -CJ #APSuperstorm""",0.24644359946250916,41,12,13,40,51,0.054770034,0.05185258,0.047315676,0.046995644,0.045509666
"“@Camz99: ""Hurricane Sandy slogs toward U.S., kills 31 in Caribbean"" - - Can't ignore this climate change. #auspol",0.2070404440164566,34,42,46,32,12,0.052147053,0.042761527,0.037967045,0.037323736,0.036841083
@Viki_P_Boi @KaylaCat_ haha still new to all of this lol,0.3654322326183319,54,53,50,10,28,0.12431012,0.08080745,0.06345941,0.050249897,0.046605356
Tropical Storm #Sandy is near 12.7N 78.6W and is nearly stationary.,0.28820590302348137,12,25,62,22,41,0.1065625,0.05572621,0.04453163,0.0426664,0.03871916
"Watchin""Hurricane Sandy Coming Together"" @cnbc - very touching ♡Text ""REDCROSS"" to 90999 to donate $10 to help those affected #SandyHelp",0.3677378185093403,34,33,21,46,50,0.17448485,0.060607012,0.057035964,0.039759595,0.0358504
"I'm at Frankenstorm Apocalypse - Hurricane Sandy (New York, NY) w/ 2960 others",0.21479076519608498,31,63,30,53,51,0.055510946,0.04863593,0.041153867,0.03503643,0.034453593
Fuxka hurricane sandy. I need to try out for SAB. !!!!!!,0.1744810063391924,62,12,10,33,34,0.04369319,0.037790958,0.031813335,0.031450473,0.029733052
