Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
"Cornelia is tied of going potty in the rain. #harvey #texas #dog @ Houston, Texas",0.2438042163848877,40,33,61,12,62,0.06249535,0.050791096,0.045629296,0.042565744,0.04232273
SENDING PRAYERS UP FOR EVERYONE IN THE HOUSTON AREA AFFECTED BY #HARVEY STAY STRONG AND KEEP…,0.7056985162198544,21,57,61,8,59,0.41103742,0.09603827,0.08761037,0.06668165,0.04433081
I am grateful for our safety through #hurricaneharvey though I can't help but feel helpless. I…,0.45220474898815155,21,34,46,8,61,0.13245721,0.0924706,0.08262787,0.081334785,0.06331428
Oklahoma Rescue Crews. Kirkwood and Memorial #hurricaneharvey #Houston #RobGreenePhotography @…,0.36011969298124313,57,33,21,58,40,0.10716339,0.06873974,0.061916586,0.061849765,0.060450207
"First sunrise I post in my life. After #Harvey, #Houston is going back to normal. @ Bayou on the…",0.2200184017419815,31,33,53,10,30,0.05503992,0.04771979,0.04402428,0.03774623,0.03548818
The first of the rain bands. #houston #texas #harvey #clouds @ Pearland Regional Airport & FBO,0.2520706094801426,61,33,53,24,8,0.06835133,0.06776555,0.04693575,0.036108047,0.032909937
"MIND YOU I JUST GOT GAS HERE and they JUST ran out! 😢 #HurricaneHarvey @ Houston, Texas",0.30966857448220253,32,55,19,12,37,0.07756015,0.06822406,0.05784173,0.053427063,0.052615575
Waiting to draw blood like ... #phlebotomist #hurricaneharvey @ Houston Fannin Medical Center,0.19928861781954765,39,62,52,10,41,0.059210684,0.043099333,0.03671042,0.031258054,0.029010128
Loafs of bread $1.50 and free half gallons of water #Harvey #Pearland #CentralTexasBBQ @ Central…,0.20508335530757904,33,57,31,61,53,0.067636915,0.0399072,0.033654485,0.03340981,0.030474946
"Day two, three to go. #hurricane #hurricaneharvey #rain #flooding #staysafe @ Wild Peach…",0.22969865798950195,57,54,33,58,11,0.071132824,0.04327067,0.04134312,0.037125323,0.036826722
My 6 yo. stir crazy. Playing in #Hurricane #hurricaneharvey @ Fall Creek,0.3423827216029167,11,44,48,31,42,0.09246438,0.07382757,0.07058623,0.05925911,0.046245433
Cats are safe and dry. #hurricaneharvey #catsofinstagram @ EGHtown Productions,0.23264334723353386,61,39,59,33,21,0.09031036,0.03761123,0.036382988,0.0346703,0.03366847
Glued to the #Harvey news and praying for those impacted. Sucha a crazy time for a #staycation…,0.5179031938314438,21,34,61,46,27,0.30693612,0.07297378,0.05813491,0.046611745,0.033246644
"If you're stranded in Katy , Contact #2816878992 ‼️‼️ #hurricaneharvey #houston @ Houston, Texas",0.21002823114395142,11,41,63,30,33,0.053231888,0.047526464,0.037125953,0.036638238,0.03550569
More than #Houston was and is being affected by #Harvey! To see how you can help and give back…,0.40645600482821465,46,34,21,5,27,0.13440019,0.08930483,0.06806064,0.065041795,0.049648557
"#FemaAssistance #Repost #WeGotUs #HoustonStrong #TeamUS #HurricaneHarvey @ Houston, Texas",0.18972348421812057,11,24,30,21,61,0.05191335,0.03571868,0.034624226,0.034388416,0.033078812
eye wash at construction site picked up and moved into the road. #houston #hurricaneharvey…,0.23631534725427628,33,41,31,12,62,0.061652884,0.05703611,0.047704414,0.035585776,0.034336165
"Prepared for the worst but still praying for the best 🙏🏾 #HurricaneHarvey @ Baton Rouge, Louisiana",0.553169745951891,21,13,17,46,61,0.34870186,0.068618916,0.058512665,0.039002005,0.038334295
All proceeds from tonight's Porch Series will go towards relief efforts for #hurricaneharvey…,0.35875196382403374,33,40,17,57,53,0.11468101,0.08716106,0.05403916,0.05295745,0.049913283
cayleigh.x @cylie0528 and @caitlyn0603 will probably be sick after this #HurricaneHarvey @…,0.328970305621624,39,58,33,11,48,0.10556681,0.058705,0.058379047,0.05430242,0.052017033
🐈🐴 #TeamGrip is accepting #petfood at the #HurricaneHarvey donation drive here at…,0.3134918808937073,33,31,53,61,57,0.112167425,0.062077504,0.055972118,0.0433034,0.039971434
I donated to help Victims of #Harvey. °°#hurricaneharvey #houstonstrong #houston #flooding…,0.3296171501278877,21,61,57,8,59,0.12168595,0.06680028,0.048377525,0.04738985,0.04536354
Penny says take a deep breath and don't over think things. #hurricaneharvey #flooding #staysafe…,0.1894592810422182,39,49,46,33,12,0.07153151,0.03028685,0.030004859,0.029250165,0.028385894
"Texas babies donating to Texas babies 😊 #hurricaneharvey @ Dallas, Texas",0.5429626032710075,61,59,8,33,40,0.3492952,0.058026575,0.051612426,0.051283687,0.032744717
Out for the night helping support the communities affected by #Harvey having a wonderful…,0.31699399277567863,7,61,8,47,59,0.069023065,0.065172896,0.06490078,0.06026692,0.057630334
Este hombre lo perdió todo en su casa por el huracán #harvey quiso volver a su casa para tocar…,0.33322615548968315,55,32,34,45,37,0.100675926,0.07663482,0.062031526,0.047487214,0.046396673
@thedeermusic at @mohawkaustin for the #harveybenefit at @mohawkaustin #hurricaneharvey…,0.38407471030950546,33,11,58,57,17,0.1180986,0.07626011,0.07056032,0.060230855,0.05892482
So excited to be taking our first round of donations! Keep em comin!! #hurricaneharvey…,0.5963565111160278,61,57,59,58,8,0.32988784,0.089456074,0.073135644,0.060142025,0.04373493
Stormy Weather #nationaldayofprayer#houstonstrong #hurricaneharvey…,0.17154615931212902,11,31,52,43,24,0.039682154,0.03495187,0.03481534,0.032056496,0.0300403
Wharton's emergency food pantry - amazing #GoneFishie #harvey @ GCF Wharton,0.2849852181971073,36,33,24,4,47,0.081873685,0.06018477,0.057462737,0.04673124,0.038732786
We're tabling to collect items for @jayumcor #hurricaneharvey clean up buckets with our friends…,0.3596274107694626,33,57,63,58,31,0.09813711,0.07735244,0.07315814,0.060127273,0.050852448
Week 2!!! Taking all donations for #hurricaneharvey at #PlayhouseHollywood x #LostAngelsOrg…,0.27171291410923004,57,33,61,58,40,0.08909455,0.058197077,0.04553267,0.041693483,0.037195135
"""Gonna Be Alright"" Available 09.12.17!!! #Houston #hurricaneharvey #helpinghands#survivor…",0.38616282120347023,11,48,33,57,21,0.14380996,0.1229968,0.04709168,0.041583337,0.030681044
"Back to work but feeling strong. Let's do this #harvey #houstonstrong @ Westside, Houston, Texas",0.5618759170174599,57,58,44,13,61,0.3253747,0.100089565,0.06133069,0.03992319,0.035157777
"Even in Central Texas, bottled H2O is flying off the shelves. #hurricaneharvey @ H-E-B plus!",0.192375335842371,33,31,61,62,12,0.050351307,0.04418655,0.034545496,0.032192867,0.031099115
#Eclipse2017 #Texas #Texasweather #Hurricane #Harvey #Texashumor texashumor @ Texas,0.2114116083830595,11,48,57,31,33,0.07567682,0.038234547,0.035894066,0.031233646,0.030372528
Jump for joy #hurricaneharvey @ Houston Fannin Medical Center,0.33250219002366066,48,11,17,57,53,0.11383512,0.10530871,0.041866474,0.036787063,0.034704823
"Barely anything right now #harvey @ Huntsville, Texas",0.2304469831287861,35,45,20,27,19,0.055385504,0.055150766,0.04294512,0.040257487,0.036708105
