Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
Tomorrow in #DowntownDallas have a burger and help #HurricaneHarvey victims. #TeamAyS @ Ahora y…,0.1941133551299572,33,21,34,31,44,0.05239463,0.048960008,0.034165766,0.029710695,0.028882258
We are taking donations for Houston #hurricaneharvey ... im #mountpleasant ... Giving is caring…,0.23845555260777473,61,59,8,30,47,0.097820744,0.043951213,0.03325749,0.032033056,0.03139305
#potus #trump #climatechange #holdmybeer #irma #florida #houston #hurricaneharvey #hurricaneirma…,0.2248964086174965,44,31,54,57,55,0.053142395,0.048100244,0.041431326,0.04112943,0.041093014
"#dailypic #tornadowarning #harvey @ Tomball, Texas",0.1927381344139576,11,48,57,24,58,0.06907095,0.03458667,0.032014176,0.030162636,0.0269037
Finding new perches during #hurricaneharvey 🤔🐶🌊 #Galveston #italiangreyhuahua #rocketdog…,0.22322575002908707,33,4,53,17,10,0.05739229,0.047307137,0.044324502,0.038641315,0.035560504
Going to deliver food and supplies to families affected by #HurricaneHarvey today at 11am.…,0.193800400942564,21,34,33,30,53,0.04478211,0.039253615,0.03878214,0.036395196,0.034587342
"#HurricaneHarvey #LeagueCity #Dickinson #Friendswood @ Galveston County, Texas",0.20379232242703438,11,30,48,61,57,0.0667029,0.037771393,0.0334456,0.033269376,0.03260305
"#cigarworld #cigarlife #cigar #cigsrpost #HARVEY AT WORK IN THE 🤘🤘🤘 @ Spring, Texas",0.2857618108391762,11,57,33,31,61,0.07260529,0.058365334,0.057685174,0.0557591,0.041346915
"Ha! Even during a storm, a restaurant remains open. #Food #hurricaneharvey @ Aladdin…",0.3370896950364113,53,54,36,33,50,0.08742824,0.078178614,0.070090525,0.056742743,0.04464957
Part 2 of demo work on a flood damaged house from #Hurricane #Harvey. #flood #flooded #houston…,0.23349279537796974,57,52,42,62,33,0.06337057,0.046609614,0.04297937,0.042565666,0.037967574
Team @elysianseafood and @ancorapizza made the most delicious #cushaw ever! #hurricaneharvey…,0.4470038264989853,36,33,4,61,57,0.22844154,0.06742211,0.06484171,0.043815464,0.04248301
".@MorenoBID Ayer #Harvey, hoy #Irma comparto guía: cómo reducir pérdidas humanas causadas por desastres naturales",0.31604958698153496,24,47,57,30,33,0.14289019,0.05903249,0.0527295,0.032791022,0.028606392
Me running to my car. 1st day off in 12 days!! #purplepromise #hurricaneharvey #houston…,0.29570525512099266,33,62,10,53,57,0.07105251,0.062115397,0.0578166,0.054543532,0.05017722
