Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
This was the church sanctuary in Rockport. #harvey2017 SONY A7 RII w/SONY G Master 85mm FE…,0.4423847161233425,21,17,24,11,48,0.19951452,0.072917126,0.06909317,0.051696535,0.049163364
#HurricaneHarvey relief!!! ❤❤❤ About to see the remake of the #StevenKing #horror #movie #It.…,0.25868430733680725,33,53,40,20,7,0.07361542,0.0694989,0.041488383,0.03778002,0.03630159
Sigan las actualizaciones del huracán #Harvey por @sybil_sanchez con nuestros meteorólogos.…,0.3087037429213524,24,63,47,30,50,0.082088254,0.072022,0.055598274,0.053319942,0.045675274
Gauge planning. #hurricaneharvey,0.284891240298748,42,44,62,10,33,0.08176036,0.07143473,0.048838764,0.041773032,0.041084353
Hi Beauties! So theres a big chance we will be loosing power due too #hurricaneharvey but I…,0.2019341103732586,8,59,61,47,57,0.046017572,0.04139851,0.040903565,0.040055074,0.03355939
"I've had no power and I need to eat. #FeedMe #HurricaneHarvey #Harvey #SanAntonio (@ Whataburger in San Antonio, TX)",0.2476128190755844,36,29,34,43,52,0.06086798,0.05456809,0.045512676,0.04395026,0.042713813
They have opened a shelter in #Friendswood for those stranded and having to be evacuated. #Harvey #HurricaneHarvery,0.28212374821305275,34,12,46,21,52,0.07771708,0.064500295,0.056937765,0.04769697,0.035271637
#HurricaneHarvey: #GodBless Texas! Please #sendprayers if you have a moment. There is a serious…,0.27716121450066566,21,61,17,40,33,0.115417585,0.05540156,0.039232604,0.03504774,0.032061726
"Saving some of Batmans cousins #houston #harvey @ Houston, Texas",0.23972507566213608,30,31,33,6,44,0.06474926,0.060118657,0.04647361,0.034805726,0.03357782
"Checking for damage & leaks due to #HurricaneHarvey (@ Staff House in Beeville, TX)",0.22476208209991455,41,62,20,33,45,0.054645427,0.049815312,0.04608426,0.040068526,0.03414856
More places if you need to check in #hurricaneharvey @ 1043hitfm,0.19916892424225807,63,21,61,57,31,0.05061133,0.045416355,0.03443293,0.034399383,0.03430893
"#houstonflood #houstonfloods #houstonflooding @ Houston, Texas",0.19743772968649864,11,24,48,30,61,0.058854632,0.03630759,0.03623662,0.03532632,0.030712567
#Houston #hurricaneharvey @ Embassy Suites by Hilton Jacksonville…,0.20414725318551064,33,11,48,40,24,0.050753027,0.050306942,0.037708994,0.03351161,0.03186668
Coping mechanism... #houston #hurricaneharvey #hurricane #goawayharvey #canadianclub @ Texas,0.19652347266674042,11,34,57,48,45,0.056739565,0.043925423,0.03949225,0.02896465,0.027401585
"#patrickharris has been found ‼️ #hurricaneharvey @ Houston, Texas",0.3284961134195328,17,40,61,33,31,0.086950585,0.07305879,0.069252215,0.053540878,0.045693643
majic1021 #SundayMorningLive with#DrJThomasSmith at 9 ctSpotlighting #hurricaneharvey More…,0.29988689720630646,24,57,47,33,16,0.096508764,0.07160978,0.05411071,0.0394853,0.038172342
"It's still real out here avoid Eldridge Pkwy #hurricaneharvey @ Westside, Houston, Texas",0.4303877651691437,13,44,37,41,31,0.18545774,0.09833533,0.053978495,0.049607184,0.043009017
"@weezer sweetly released a shirt benefitting #hurricaneharvey relief, you can go on their…",0.36566826328635216,50,33,53,54,57,0.10830493,0.101708665,0.062055714,0.0549313,0.03866765
They are doing a great job at @animalernwh! #hurricaneharvey #petsofinstagram #houston #htown…,0.5623894482851028,40,33,57,61,58,0.18733732,0.15586063,0.08742973,0.084289744,0.047472015
"Teen’s bar mitzvah gives Houston chance to commiserate, heal...#HurricaneHarvey",0.2853434905409813,21,46,34,11,33,0.09926185,0.053735588,0.05085887,0.04625038,0.035236802
"Another successful delivery and work #harvey (@ Port Aransas Beach in Port Aransas, TX)",0.4601407051086426,33,57,31,53,40,0.18706319,0.096737206,0.08501176,0.048295096,0.04303346
#untitled #hurricaneharvey #volunteerwork #volunteerweek #volunteering #friendswood #quaker…,0.2217730674892664,11,57,48,21,34,0.07206874,0.045927208,0.0416267,0.032319438,0.02983098
#BreakawayRunning bringing the #memrun community together for #hurricaneharvey #Lovelocal901…,0.2901536040008068,61,33,57,40,59,0.08081311,0.059314176,0.05674576,0.04714561,0.04613495
Volunteering HISD Uniform Distribution for families affected by #Harvey #dccomics...,0.30612663179636,34,21,46,33,53,0.09085364,0.0737825,0.06898685,0.04089088,0.03161276
