Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
Hope everyone is safe with hurricane sandy coming along #sad #scary,0.5749189853668213,34,21,5,27,43,0.15321298,0.1414308,0.11804073,0.10268317,0.059551306
"Watching Hurricane Irene distroying the Eastern Seaboard on Fox News, I just can't imagine what ppl are going through !! Please stay safe xx",0.5222137868404388,34,21,27,46,5,0.179018,0.17190713,0.063454024,0.056750294,0.051084336
"@TMainolfiWESH Tony, Can Hurricane Harvey's Storm Surge towards Houston be as deadly as SuperStorm Sandy..I have lots of ex-coworkers in IAH",0.4389938861131668,54,50,44,33,31,0.111075506,0.10340778,0.100524366,0.0676526,0.05633364
Who remembers this. This is how we rock hurricane Matthew #miketysonpunchout #rasberrypie #games… https://t.co/fjONEvvlcd,0.31691689416766167,11,48,58,40,31,0.11392736,0.05298354,0.050962362,0.050268598,0.048775036
Spring Lake Damn in NC broke a week before Hurricane Matthew hit and Tabatha Davis' home flooded… https://t.co/kCKtlVOzvU,0.29226017370820045,12,19,32,25,22,0.11386009,0.050357137,0.04840674,0.04401315,0.035623055
"First Hurricane Sandy Deaths Reported In NY, CT - http://t.co/Uh9lPGxk #Queens #NewYork",0.45231764763593674,34,46,21,27,5,0.147432,0.11787314,0.06783699,0.065240555,0.05393496
if any of y'all are in the projected path of Sandy get prepared looks like she's gonna be a major monstrous bitch of a storm,0.26739196851849556,32,55,19,62,37,0.0809863,0.06783498,0.041265916,0.04010086,0.03720391
Sandy is moving on out....keep it moving devil storm dont want to hear of you again!!!!,0.35809510573744774,32,56,55,38,37,0.10336049,0.09055883,0.07109846,0.052294277,0.04078305
"If you see these photos, don't share them! 11 Viral Photos That AREN'T Hurricane Sandy http://t.co/geBwhv1i",0.2741469778120518,56,32,55,28,62,0.06308213,0.062281676,0.06127931,0.04755429,0.03994957
O'Malley on Hurricane Sandy in West Roxbury - http://t.co/XvESu616 #WestRoxbury #Massachusetts,0.2053842507302761,33,31,40,12,11,0.062179524,0.04242405,0.036586985,0.03450542,0.029688273
"Patch & AOL Send Hurricane Sandy Relief Trucks to Long Island, New Jersey http://t.co/yPR1HhN1 via http://t.co/i1IdlSaH",0.23596709966659546,33,53,24,47,31,0.06291299,0.046441577,0.043849442,0.04279479,0.039968297
This is HURRICANE IRENE. you've to be jokin. its a thunderstorm innit!,0.30842598155140877,55,32,19,37,62,0.09080994,0.08718714,0.05367771,0.03929909,0.037452098
@Ulusal_Kanal bunu turk halkida anlasaya,0.2010139562189579,54,50,57,0,53,0.044910487,0.042900387,0.040270444,0.03721487,0.035717767
ขอให้เป็นแบบนี้ไปนานๆๆ,0.35294174402952194,24,21,47,63,11,0.10560388,0.07206569,0.06795593,0.06417472,0.04314152
#Hurricane #Isaac is near 28.4N 88.7W and is moving NW at 9 mph. http://t.co/sUw6YrDG,0.211455799639225,12,53,33,62,34,0.0610959,0.04424605,0.037859812,0.03687719,0.031376846
"Leaving for the US. After the encounter with Typhoon Mina this weekend, I hope hurricane Irene is over when we get... http://t.co/ueWywKP",0.28969806432724,34,21,62,46,10,0.087929636,0.07252803,0.045702413,0.044732627,0.03880536
Help Animals of Hurricane Sandy http://t.co/nfIEwsuF via http://t.co/9loHPHko,0.20026887953281403,34,21,24,47,11,0.06432668,0.04022666,0.035797678,0.030186102,0.029731758
Gotta get supplies for the Hurricane! #noclasstomorrow #UVA #hurricaneparty #Sandy @ Kroger http://t.co/0gh3gAv,0.23988407477736473,62,10,33,57,54,0.05593176,0.05298899,0.049649645,0.044609528,0.03670415
"A @Miss_GraceJones #Hurricane arrived at #Roseland, and now this Sandy bitch is trying i @ Roseland Ballroom http://t.co/e1mS0ddk",0.31162715144455433,32,55,37,42,19,0.11051404,0.09740492,0.047214966,0.029396797,0.027096432
One day after Hurricane Maria devastated PR we couldn't get out of our property. With the help… https://t.co/MQlad0HpcL,0.3225298821926117,34,46,27,5,3,0.1318323,0.08369956,0.04236716,0.03292987,0.031700987
❤ (@ Patrizia Suzzi Boutique) http://t.co/InyMBj9U,0.20232892967760563,24,47,63,8,57,0.07455514,0.040336527,0.0327661,0.027769763,0.026901396
"Big branches fell around the house, but nothing broken. #hurricane #irene",0.27814777567982674,57,46,11,58,33,0.07445227,0.066441074,0.057331096,0.04131354,0.03860979
Capturing the Hurricane flood waters with @KevChristiansen #Sandy http://t.co/WuzaqqoO,0.21937334910035133,33,53,40,31,30,0.05980246,0.044026986,0.039889153,0.038246676,0.037408073
Walking home in the mission and the city erupts. I freak out. Then I see people in orange run by.,0.4039453864097595,12,52,43,25,62,0.12853473,0.10020752,0.06545909,0.05534412,0.054399922
