Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
"Morning all. US stock market to be closed today due to the arrival of Hurricane Sandy. First time since Sept 11, 2001. http://t.co/2hHmaKaI",0.3197549656033516,32,55,34,52,7,0.10947776,0.07870684,0.045062426,0.044844817,0.041663125
@KentMaybank @mrswadling wooow says the Indian (who are notoriously hair-free) lol. I never go more than a couple days without shaving so...,0.3408081568777561,54,50,53,0,20,0.11535979,0.06757031,0.057207126,0.05243777,0.048233163
I'm watching the programme on super storm sandy but I'm finding it hard the accents are fucking buggin me !,0.4727795161306858,32,55,37,29,52,0.1359135,0.13494456,0.075263634,0.06510416,0.06155366
Lol hurricane sandy is back for round 2,0.31271225959062576,44,20,0,40,31,0.078921594,0.07418805,0.05910387,0.051787224,0.04871152
Akron Hurricane Katrina evacuee watching Hurricane Isaac closely -NewsNet5.com http://t.co/Sjnfj0o6 #BathCenter #Akron #OH,0.24061692878603935,12,25,22,41,62,0.07551399,0.052275397,0.041980777,0.037971552,0.032875214
"Tuhan kuingin dia yang sempurna , untukku yang biasa",0.2399204820394516,24,35,16,58,34,0.07962266,0.050340705,0.041746948,0.034244824,0.03396534
“@RomneyStormTips: Everyone in the path of the hurricane should head to their second or third home to safety #Sandy #RomneyStormTips” hihi,0.24515489488840103,33,49,53,12,28,0.054748755,0.054473456,0.04786014,0.044375807,0.043696735
All I need is a highlighter and candle light. Lets do this. (@ Frankenstorm Apocalypse - Hurricane Sandy) http://t.co/nVcg3cX4,0.5060486923903227,63,57,58,21,59,0.3665975,0.04485506,0.03371684,0.033094373,0.02778492
Stranded in NYC due to Hurricane Irene and its time to whip out the emergency supplies and wait for impact!,0.223761897534132,31,33,58,21,62,0.04840959,0.045867506,0.043812167,0.043219764,0.04245287
What's the point of the reporters standing out in the middle of the hurricane? #Sandy http://t.co/Kizwabsj,0.39702368155121803,32,55,19,25,22,0.10356049,0.09732242,0.08331482,0.060405996,0.052419953
