Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
"What an absolute fail of a ""storm."" Weak #Irene, very weak. (@ I Survived Hurricane Irene 2011 w/ 48 others) http://t.co/6ywOwF3",0.2239104826003313,57,33,20,34,62,0.07238012,0.046289228,0.040952552,0.034149636,0.030138949
Hurricane Sandy was Gods's way of canceling Jersey Shore.,0.2750830873847008,12,25,22,34,19,0.0693677,0.06080528,0.050090015,0.04915527,0.045664825
That pussy was bomb too lol,0.4548410139977932,36,54,49,9,6,0.1840786,0.10093039,0.06014779,0.05496286,0.05472137
"#Sandy remains a Cat 1 #Hurricane with winds of 75 mph, min. pressure of 971mb  http://t.co/ZGYsYVp7",0.3465758375823498,32,55,43,52,45,0.10166532,0.08913549,0.054273408,0.053598657,0.047902964
Trucks from Washington DC Bring Donated Goods to Jersey Victims of Hurricane Sandy http://t.co/iOHXaD2k via http://t.co/XuAv6u7y,0.29071391746401787,33,31,61,53,40,0.12519091,0.046796337,0.041454457,0.039788514,0.037483696
This are the consequences of the tropical storm Nate. #rainbow #tropicalstorm #sunset… https://t.co/kAd09muRKU,0.31152236834168434,55,32,34,52,43,0.09127214,0.08524757,0.050554838,0.042228095,0.04221973
KW Central is collecting donations to help those hit by Hurricane Harvey. Please see address at… https://t.co/alZKVRPwLD,0.3265126682817936,21,34,33,53,41,0.15734759,0.050334167,0.045367055,0.041808568,0.03165529
"“@twc_hurricane: Center of #Sandy is currently 310 miles SSE of #NYC, or about 265 mi SE of Atlantic City NJ.”",0.29894616082310677,17,12,40,41,33,0.08599302,0.06583571,0.056103304,0.048941318,0.04207281
Hurricane Irene Emergency Contact List http://t.co/66Ybuqr via http://t.co/GPWhR1f,0.1754333507269621,12,62,22,41,33,0.047790233,0.03406533,0.03261461,0.030844012,0.030119166
My thoughts and prayers are with those in the path of Hurricane Irene.,0.5918004959821701,21,46,5,34,27,0.22709127,0.15036188,0.08910438,0.06381847,0.0614245
I'm at Hurricane Irene w/ @maryframer @champagnechaser @1nadamtns http://t.co/PVFIfPF,0.19642644375562668,36,10,31,16,53,0.05466827,0.03942737,0.034362707,0.034220826,0.03374727
"#CYCLONE Alert-Update: Hurricane - Jose, Advisory 11, WARNING, Max Winds 194kph/121mph, Gusts of 241kph/150mph https://t.co/jfnb4kszZD",0.2875064015388489,32,12,33,55,62,0.07522667,0.064987615,0.05048715,0.048969284,0.04783568
