Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
Hurricane Sandy CT Live Blog http://t.co/1VPBIK3a via http://t.co/pNS2IMmL,0.23828142136335373,33,53,30,40,24,0.06512941,0.04755151,0.042815946,0.04172113,0.041063428
From outer space. Source: NASA #hurricane #sandy #yikes  @ Hurricane Sandy http://t.co/VsvKjlgH,0.42442286759614944,62,12,52,10,20,0.15942793,0.11042397,0.06324058,0.057948496,0.033381898
"2am update has #sandy just south and west of BGM in central PA by Tuesday 8pm, which puts us in the right front quadrant of the storm 😁",0.24142973497509956,33,62,32,12,55,0.055991914,0.050050862,0.04906696,0.04530613,0.041013867
@carlypavlack not a problem 😉 lets get REAL shitty tho,0.21242144331336021,6,33,50,31,58,0.046682645,0.045870222,0.04385877,0.03831055,0.037699256
"@JWTaylorBpool nonono, im not a Thursday boy!",0.3952537216246128,56,38,55,58,54,0.19242927,0.09758211,0.04042379,0.034375932,0.030442614
First Friday is cancelled due to Hurricane Matthew. Stay safe! #lovefl #sunshineshere… https://t.co/HgUPCJ95fI,0.38106757402420044,21,33,61,17,30,0.19631976,0.06149188,0.050238986,0.037318844,0.035698105
"@Tyrese: A shark in the streets after hurricane Irene??? Huh?? http://t.co/IKzxdJT 
Hope we don't get any of this shit over here!!!",0.277193158864975,32,55,12,52,62,0.08027311,0.0727814,0.047746524,0.038454447,0.037937682
A Little Wind & Rain Irene. (@ Hurricane Irene w/ @mojothegreat @trevordickerson) http://t.co/vF5fOJL,0.2611691951751709,24,63,47,16,8,0.07565193,0.05062624,0.050341304,0.044090766,0.040458955
"@piersmorgan, I'll fly the arsenal team to face hurricane irene, she'll get rid of the rest of your horrible team you have remaining!",0.4141765795648098,50,54,33,53,32,0.12497442,0.094225116,0.08151627,0.058813535,0.054647233
Hurricane Florence tracker: where is the storm heading? | World news | The Guardian - https://t.co/Vb3j4SOm8O #HurricaneFlorence,0.23824993893504143,11,21,40,61,33,0.07012532,0.04851686,0.04224882,0.041631658,0.035727285
Keep Safe During Hurricane Sandy http://t.co/eNQO83XW via http://t.co/EpkhI5s0,0.34377221018075943,21,47,24,34,7,0.18747167,0.042766105,0.038406823,0.038382012,0.036745597
"I'm at Frankenstorm Apocalypse - Hurricane Sandy (New York, NY) w/ 2607 others http://t.co/k8MoicBJ",0.2332482896745205,31,63,30,53,24,0.054886267,0.052624896,0.044285733,0.04288144,0.038569953
Praying for all those affected by Hurricane Harvey. We have confirmed the safety of our sisters… https://t.co/OlMEX0VV07,0.6245453469455242,21,61,34,8,46,0.32953307,0.09529833,0.080758184,0.06300737,0.055948395
